ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
692,"Four lines form a shape on a coordinate grid. The equations of the lines are y = - (1/4)x + 4, y = - (5/2)x + 22, y = - (2/5)x + 1, and y = - 4x + 19. What shape is formed by these lines?",A,Kite,Rectangle,Rhombus,Trapezoid,No parallel sides.,No parallel sides.,No parallel sides.,No parallel sides.
693,"A rectangular EFGH is located on a coordinate grid with point E at (3, 7) and point F at (0, 9). What is the slope of the side FG?",D, −3/2 , −2/3 , 2/3 , 3/2 ,Chose the reciprocal of slope of EF.,Chose the slope of EF.,Chose the opposite of slope of EF.,3/2 is opposite reciprocal of -2/3
694,"What is the distance between two points at (12, 4) and (12, 9)?",A, 5 units, −5 units, 13 units, −13 units,12 - 12 = 0; 9 - 4 = 5,Distance is a positive value.,Added 9 + 4 = 13 instead of subtracted.,Distance is a positive value and added 9 + 4 = 13 instead of subtracted.
695,"In the function p(t) = (1/2)t - 5, what is the independent variable?",C,p(t), 1/2 ,t, −5 ,Chose the dependent variable.,Chose the slope.,Recognized t as the independent variable.,Chose the y-intercept.
696,"Given the mathematical equation k = 4 - j, which statement is be true if the value of j reduces by 5?",C,k decreases by 5 ,k decreases by −1 ,k increases by 5 ,k increases by 9 ,Same decrease as j.,Used 4 - 5 = -1.,Correct.,Used 4 - (-5) = 9.
697,"The total amount of energy consumed, e, depends on the number of lightbulbs used, represented as l. Which equation demonstrates the energy consumption as a function of the number of lightbulbs used?",C, f(e) = 6l , f(e) = 6e , f(l) = 6l , f(l) = 6e ,"Function of energe (e), not l lightbulbs.","Function of energe (e), not l lightbulbs.",Correct.,"Function of energe (e), not l lightbulbs."
698,Which function is a nonlinear function?,C, (1/2) x + y = 11 , x − y = 1 , xy = 1/2 , x = (1/2) y ,Chose a linear function.,Chose a linear function.,Chose a hyperbola function.,Chose a linear function.
699,Which function is a linear function?,B, x = 4 , x − 3y = 5 , xy = 2 , x = 1/y ,Chose a nonlinear function.,Chose a linear function in standard form.,Chose a hyperbola function.,Chose a hyperbola function.
700,Which of the following is geometric sequence?,D, −5  10  −15  20  −25 … , 1  2  4  9  16 … , 52  43  34  25  16 … , 64  32  16  8  4 … ,Chose an alternating sequence.,Chose a quadratic sequence.,Chose a constant decrease of 9.,Chose an exponential sequence.
701,"For j = -3, what is the result of the expression 4j - |j - 6|?",A, − 21 , − 3 ,3,21,4 * (-3) - |-3 - 6| = -12 - 9 = -21,Calculated 4 * (-3) + |-3 - 6| = -12 + 9 = -3.,Calculated 4 * (3) - |-3 - 6| = 12 - 9 = 3.,Calculated 4 * (3) + |-3 - 6| = 12 + 9 = 21.
702,"For c = -2 and d = -1, what is the value of 8c - 4cd + 5d?",A, − 29 , − 26 , − 19 , − 13 ,8 (-2) - 4 (-2) (-1) + 5 (-1) = -16 - 8 - 5 = -29,Calculated 8 (-1) - 4 (-2) (-1) + 5 (-2) = -8 - 8 - 10 = -26.,Calculated 8 (-2) - 4 (-2) (-1) + 5 (1) = -16 - 8 + 5 = -19.,Calculated 8 (-2) - 4 (2) (-1) + 5 (-1) = -16 + 8 -5 = -13.
703,Which expression demonstrates commutative property?,C, 1 + ( 2 + 3 ) = ( 1 + 2 ) + 3 , 2 ( 3 + 4 ) = 2 (3) + 2 (4) , 4 + 5 = 5 + 4 , 6 + 0 = 6 ,Associative property.,Distributive property.,,Identity property.
704,Which expression demonstrates distributive property?,A, r(s + t) = rs + rt , r(st) = (rs)t , rs = sr , 1r = r ,,Associative property.,Commutative property.,Identity property.
705,Which expression demonstrates associative property?,C, 1r = r , rs = sr , r(st) = (rs)t , r(s + t) = rs + rt ,Identity property.,Commutative property.,,Distributive property.
706,"For the equation f + (g + h) = (f + g) + h, which mathematical property is used?",A,Associative,Commutative,Distributive,Identity,,Not f + (g + h) = (g + h) + f.,Not the distributive property.,Not the identity property.
707,"In a garden, the number of apple trees is 3 times as many as the number of pear trees. Together, there are a total of 24 trees in the garden. How many apple trees are there in the garden?",D,6,8,12,18,Chose the number of pear trees.,Calculated 24/3 = 8.,Calculated 24/2 =12.,3 * 6 = 18; 18 + 6 = 24
708,Which line has a graph that is perpendicular to the graph represented by 3x + 2y = 12?,C, − (1/3) x − (1/2) y = 12 , − (1/3) x + 2y = 12 , −2x + 3y = −12 , 2x + 3y = −12 ,Calculated the slope as  1/3 * -2 = -2/3.,Calculated the slope as 1/3 * 1/2 = 1/6.,Original slope is -3/2. New slope is 2/3.,Calculated the slope as -2 * 1/3 = -2/3.
709,Which of the equations are parallel lines?,D," y = (2/3) x + 5, y = − (3/2) x + 5 "," y = (3/4) x − 6, y = (4/3) x + 8 "," y = (2/5) x + 10, y = − (2/5) x + 10 "," y = (5/6) x − 9, y = (5/6) x + 7 ",Chose perpendicular slopes.,Chose reciprocal slopes.,Chose opposite slopes.,Chose same slopes.
710,What is the slope of a line perpendicular to the graph of 5x - 4y = 20?,A, − 4/5 , − 1/5 , 4/5 , 5/4 ,Slope of given line is 5/4. Negative reciprocal is -4/5.,Calculated the slope as (4 - 5)/5 = -1/5.,Calculated the inverse of the current slope.,Chose the given slope.
711,"What is the y-intercept of the line perpendicular to the graph of y = (2/3)x + 3/4 that passes through the point (4, 8)?",D, − 1 (1/3) , 5 (1/3) ,8,14,Calculated 4 - 2/3 * 8 = 4 - 16/3 = -1 1/3.,Calculated 8 - 2/3 * 4 = 8 -  8/3 = 5 1/3.,Calculated 8 + 3/2 * 4 = 8 + 6 = 14.,8 = -3/2 (4) + b; b = 8 + 6 = 14
712,Given the equation shown. M = (y - v) / (x - u). Which equation is the solution for y?,D, y = m/(x - u) + v , y = m − x + u + v , y = (x - u)/m + v , y = m(x − u) + v ,Divided m by x - u.,"Subtracted x from m, and added u and v to m.",Divided x - u by m.,m = (y - v)/(x - u); m(x - u) = y - v; m(x - u) + v = y
713,"Trapezoid RSTU are formed with vertices of R (-2, -2), S (3, 3), T (7, 3), and U (10, -2). The location of U is changed to make the shape into a parallelogram. What rule is used to change the position of point U?",A," (x − 8, y) "," (x + 2, y − 2) "," (x + 8 , y) "," (2x, y) ",Moved the point 8 units to the left.,Used the coordinates of the point as the constants for the rule.,Added the value instead of subtracting.,Used the x-coordinate of the new point as the coefficient of x.
714,"Points at Q (2, 2), R (4, 4), and S (8, 4) form the vertices of parallelogarm QRST. What is the equation of line fence that includes the side ST?",B, y = x , y = x − 4 , y = x + 4 , y = 2 ,Determined equation of line that includes side QR.,Used slope of QR and point S to write equation. y = 1(x - 8) + 4.,Used x-intercept of line for the equation.,Used the equation of the line that includes QT.
715,"Which line is parallel to the graph of y = (-3/4)x - 5 and passes through the point (0, 8)?",B, y = − (3/4) x + 6 , y = −(3/4) x + 8 , y = (3/4) x + 8 , y = (4/3) x − 5 ,"Used (0, 8) as the x-intercept. y = -(3/4) (x-8).",8 = -(3/4) (0) + 8,Used opposite slope.,Used perpendicular slope and kept the y-intercept the same.
716,What is the slope of a line that is perpendicular to the one described by 4x - 9y = 6?,B, − 9 , − 9/4 , 1/9 , 4/9 ,Chose coefficient of y.,"Slope of original item is 4/9, so used opposite reciprocal.",Chose opposite reciprocal of the coefficient of y.,Chose same slope as original line.
717,"A scientist conducted an experiment where he observed a chemical reaction 2 times. In the first observation, he noted 12 reactions in 10 seconds, and in the second observation, he noted 30 reactions in 25 seconds. The equation y = m x + b is used to represent y, the number of reactions in x minutes. What is the value of b in the equation?",A,0,1.2,18,72,m = (30 – 12)/(25 – 10) = 6/5; 30 = (6/5)(25) + b; b = 0,Calculated the rate of change of heartbeats per second.,Calculated the difference between the heartbeats at the different times.,Calculated the number of heartbeats per minute.
718,"A child has $6 to spend at the toy store on marbles and toy cars. He can purchase 2 marbles or 4 toy cars with his $6. Which equation expresses the correlation between m, the quantity of marbles, and c, the quantity of toy cars?",B, 2c + 4m = 6 , 1.5c + 3m = 6 , c = (1/2) m + 6 , c = 2m + 6 ,Used the number of marbles and toy cars as the coefficients in the standard form of the equation.,Used vertical and horizontal intercepts to determine constants.,Used the money as the y-intercept.,Used the reciprocal of the slope and the money as the y intercept.
719,What is the slope of a line parallel to the graph defined by 3x - 2y = 7?,D, − 3/2 , − 2/3 , 2/3 , 3/2 ,Used the opposite of the slope.,Used the opposite reciprocal of the slope.,Used the reciprocal of the slope.,2y = 3x – 7; y= (3/2) x – (7/2)
720,"A student spends 90 minutes studying science and math. The duration spent on science is 30 minutes less than twice the time spent on math. How could you calculate t, the time, in minutes, spent studying math?",D, 90 < 2t − 30 , t + (30 − 2t) = 90 , 30 < 2t , t + (2t − 30) = 90 ,Read the question as 90 minutes is less than 2 times the amount of time spent on guitar.,Subtracted 2t from 30 instead of 30 from 2t.,Read the question as 30 minutes is less than 2 times the time spent on guitar.,Correct.
721,Solve the inequality n - (2n - 9) ≤ 4.,D, n ≤ -13 , n ≥ -13 , n ≤ 5 , n ≥ 5 ,Added 9 to both sides; did not reverse inequality sign. n – (2n – 9) ≤ 4; –n ≤ 13; n ≤ –13,Added 9 to both sides.; n – (2n – 9) ≤ 4; –n ≤ 13; n ≥ –13,Did not reverse inequality sign.; n – (2n – 9) ≤ 4; n – 2n +9 ≤ 4; –n ≤ –5; n ≤ 5,n – (2n – 9) ≤ 4; n – 2n +9 ≤ 4; –n ≤ –5; n ≥ 5
722,"The cost to rent a tool from a shop is $3 for the first hour and $2 for every subsequent hour. John has a budget of $16 for tool rental. What inequality can help determine t, the number of hours John can rent the tool?",A, 1 + 2t ≤ 16 , 3 + 2 (t − 1) ≥ 16 , 3 + 2t ≥ 16 , 5t ≤ 16 ,Recognized $3 - $2 = a constant of $1 for day 1 and  $2 per hour each day after represents the slope 2t must be less than or equal to the total $16.,Used the incorrect inequality.,Defined variable as additional hours.,Added the values to make the coefficient.
723,"The fee to rent a booth at a convention is $25.00 with an additional $0.10 per flyer for promotional materials, when least $35.00 is invested. Samantha has a budget limit of $75.00 for the booth and promotional materials. What inequality can be used to determine f, the number of flyers she can distribute?",B, 25 + 0.1f ≥ 35 , 35 ≤ 25 + 0.1f ≤ 75 , 35 ≥ 25 + 0.1f ≥ 75 , 60 + 0.1f ≤ 75 ,Did not consider the maximum.,Recognized a constant of $25.00 and a slope of $0.10 per flyer must be greater than or equal to $35 and less than or equal to $75.,Reversed the inequality.,Combined minimum value with fixed cost.
724,"A student sets a reading goal each week. Reading Goals: Week 1 - 2 books, Week 2 - 3.5 books, Week 3 - 5 books, Week 4 - 6.5 books, Week 5 - 8 books, Week 6 - 9.5 books. What equation represents y, the number of books he plans to read in week x?",B, y = 1.5x + 0.5 , y = 1.5x + 0.5 , y = (1.5) (0.5) x , y = 1.5 + x ,Placed the variable in the denominator.,Recognized the student increased her reading by 1.5 books each week and this change is represented by the slope of the linear equation.,Multiplied by the y-intercept instead of adding it.,Interpreted rate of change as the y-intercept instead of the slope.
725,A cashier has a total of $1.60 made up of nickels and dimes only. The proportion of nickels to dimes in the drawer is 2:3. How many dimes are in the cashier's drawer?,C,6,8,12,14,"Solved the set of equations {n + d = 1.60, 2n = 3d}; and interpreted 0.64 as the value of the dimes.",Calculated the number of nickels. d = 12; 2(12) = 3n,"The set of equations {n = 2/3d, 0.05n + 0.10d = 1.60}; 0.05(3/2d) + 0.10d = 1.60.","Reversed ratio of nickels and dimes and rounded answer. The set of equations {3d = 2n, 0.05n + 0.10d = 1.60}; 0.05(3/2d) + 0.10d = 1.60."
726,"During a journey, Lisa cycled along both flat and hilly terrains. On the flat terrain, she maintained a speed of 65 mph, and on the hilly terrain, she managed a speed of 40 mph. The whole journey covered 287.5 miles in 5 hours. How many hours did she spend cycling on the hilly terrain?",A,1.5 hours,2.5 hours,2.7 hours,3.5 hours,"The set of equations {c + h = 5, 40c + 65h = 287.5}; 40c + 65(5 – c) = 287.5; 40c + 325 – 65c = 287.5.",Chose half the time traveled.,Solved 40c + 65h = 287.5 incorrectly. 105h = 287.5,"Calculated the time for flats. The set of equations {c + h = 5, 40c + 65h = 287.5}; 40(5 – h) + 65h = 287.5; 200 – 40h + 65h = 287.5."
727,John has a library with 48 books. He arranges them in 8 rows. Which numerical equation could describe this situation?,D, r − 8 = 48 , r ÷ 8 = 48 , 8 + r = 48 , 8 × r = 48 ,Chose subtraction to represent this situation.,Chose division to represent this situation.,Chose addition to represent this situation.,Chose a number sentence that represents this situation.
728,"Jake sketches a right triangle. He draws the line y = -2. What additional two lines will form a right triangle with a vertex at (-1, 3)?",D," y = -x + 3, y = x + 3 "," y = -2x + 3, y = (1/2 )x + 3 "," y = -3x, y = 3x + 6 "," y = -5x − 2, y = (1/5) x + 3 (1/5) ",Considered only perpendicularity and ignored the vertex.,Considered only perpendicularity and thought that the given values needed to be included.,Considered only the vertex and not the needed perpendicularity.,"These lines are both perpendicular and go through the vertex (-1, 3)."
729,Daisy wants to read a 78-page book. She reads 13 pages every day. Which number sentence represents this situation?,A, 78 = 13 × w , 78 = 13 ÷ w , 78 = 13 + w , 78 = 13 − w ,Selected the number sentence that accurately models the situation.,Selected division since Terrence needs to divide 78 into 13 parts.,Selected addition to describe Terrence adding up his weekly earnings.,Selected subtraction since Terrence needs to figure out by how much 13 is less than 78.
730,"John is curious about how long it will take for him to get his coffee at the busy cafe. Right now, there are 95 customers ahead of him. Each minute, the baristas serve 12 customers. What equation represents the number of customers in front of him, y, after m minutes?",A, y = 95 − ( 12 × m ) , y = ( 12 × m ) − 95 , y = 12 × ( 95 − m ) , y = 95 × ( 12 − m ) ,Chose the number sentence that expresses the situation.,"Calculated the total number of customers that needed to be subtracted, to reflect the fact that those people need to get on the ride to shorten the line.",Did not consider the order in which the multiplication and subtraction operations occurred.,Did not consider the order in which the multiplication and subtraction operations occurred and reversed the meanings of the numbers 95 and 12.
731,Multiply the expression 21 × 34.,D,55,102,614,714,Uses multiplication with addition.,Miscalculates a zero as a place holder in the second row when multiplying.,Does not carry a 1 into the hundreds place.,The student correctly multiplies 34 x 21.
732,"Sarah's weekend plan is as follows: Yoga class - 10:15 a.m. - 11:00 a.m., Swimming practice - 1:20 p.m. - 2:25 p.m., Coffee break - 2:45 p.m. - 3:00 p.m. How many activities last exactly 45 minutes?",B,0,1,2,3,The student may have miscalculated when determining the length of time of each activity.,The student has identified the number of activities that are exactly 45 minutes long,The student may have found that piano class is 45 minutes long but may have miscalculated the length of time of another activity.,The student may have correctly found that the piano class is 45 minutes long but also may have miscalculated the soccer practice and snack times (may have added 20 and 25 to get 45 minutes for soccer and may have focused on the 45 minutes in the 2:45 snack start time).
733,A bookshelf holds 64 books. The books are arranged into stacks. Each stack has 16 books. Which equation can be used to calculate the number of stacks on the bookshelf?,D, 64 + 16 = _ , 64 − 16 = _ , 64 × 16 = _ , 64 ÷ 16 = _ ,Added the 2 given values.,Subtracted the 2 given values.,Multiplied the 2 given values.,Divided the 2 given values.
734,Emily painted a triangle. The largest angle measures 80 degrees. Which term describes this triangle?,A,Acute,Equilateral,Obtuse,Right,Correctly identified the type of triangle.,Considered a triangle has 240 degrees. (80 x 3),Considered a triangle with largest angle of 80 degrees is an obtuse angle.,Considered a right angle is 80 degrees.
735,"A fitness trainer designs a workout routine with increasing sets of squats. The first set has 3 squats, the second set has 6 squats, and the third set has 9 squats. The pattern continues for the entire workout. How many squats are in the fifth set?",B,12,15,18,36,The student may have chosen the fourth term.,The student chose the fifth term.,The student may have chosen the sixth term.,The student may have multiplied 9 x 2 x 2.
736,John is building 3 birdhouses. Each birdhouse needs 12 screws. Screws are sold in boxes of 9. What equation can be used to determine the number of boxes of screws John needs to buy?,B, 12 × 9 = 117 , (3 × 12) ÷ 9 = 4 , 3 × 9 × 12 = 324 , (12 × 9) ÷ 3 = 36 ,Multiplied the number of screws needed per birdhouse by the number of screws in a box.,"Calculated 3 birdhouses being made with 12 screws in each, so multiplied and then divided by 9, the number of screws in 1 box.",Multiplied the 3 numbers involved in the scenario.,Multiplied the number of screws needed per birdhouse by the number of screws in a box and divided by the number of birdhouse.
737,"The angles of a triangle measure 14°, 63°, and 103°. Which term describes this triangle?",C,Acute,Equilateral,Obtuse,Right,May not have considered that an acute triangle has 3 angles all less than 90 degrees.,May not have considered that an equilateral triangle has 3 angles that are 60 degrees each.,Considered an obtuse triangle is the only triangle with 1 angle greater than 90 degrees.,May not have considered that any right triangle has 1 angle that is 90 degrees.
738,"John has 24 apples and 8 baskets. He wants to distribute the apples evenly among the baskets. What equation could John use to determine the number of apples, n, in each basket?",A, 8 × n = 24 , 8 ÷ n = 24 , 8 + n = 24 , 8 − n = 24 ,The student identified that the number of baskets (8) times the number of apples in each basket (n) should be equal to the total number of apples (24).,The student may have chosen the number sentence with division (because the apples are divided into baskets) but did not consider the placement of numbers.,The student may have noticed that the total number of apples is 24 and may have chosen the number sentence with addition to represent the total.,The student may have thought that subtracting the number of apples in each basket (taking them away) from the number of baskets would result in the total.
739,Multiply the expression 42 × 6.,C,242,248,252,258,Does not regroup.,Adds 2 + 6.,The student multiplies 42 x 6.,Adds 2 + 6 and regroups.
740,"John reads 3 pages of a book each day for 30 days. What equation should John use to determine t, the total number of pages he has read?",C, 3 + 30 = t , 30 − 3 = t , 3 × 30 = t , 30 ÷ 3 = t ,Selected addition rather than multiplication.,Subtracted the daily page from the number of days.,page times days equals total pages.,Selected number of days as the total pages.
741,"A series of numbers is provided: 32, 25, _, 11, 4. What is the number that should be in the blank?",C,14,15,18,19,The student may have subtracted 11 from 25.,The student may have added 11 and 4.,"Correct - The student correctly recognized the pattern to be ""subtract 7.""",The student may have thought the rule was to subtract 6.
742,A baker and his four apprentices must bake a total of 35 loaves of bread. Each person bakes the same amount of loaves. This situation can be represented by the equation b × 5 = 35. What value does b hold in this equation?,A,The number of chores each person has to complete,The number of days it takes them to complete the chores,The number of people completing the chores,The total number of chores they have to complete together,The student identified what the variable represents.,The student may have thought the variable represented how long it would take to complete the chores.,The student may have thought the variable represented the number of people completing the chores.,The student may have thought the variable represented the total number of chores the friends complete together instead of the number of chores each person completes.
743,John places some apples into baskets. This can be represented by the mathematical equation 6 × n = 72. What could each value in the equation stand for?,B,6 total apples in 72 baskets with n apples in each basket,72 total apples in 6 baskets with n apples in each basket, n total apples in 6 baskets with 72 apples in each basket, n total apples in 72 baskets with 6 apples in each basket,The student may have interpreted 72 as a factor.,The student correctly interpreted the relationship between the factors and the product.,The student may have interpreted the unknown as the product.,The student may have interpreted 72 as a factor.
744,"In a wildlife conservation park, there is a ratio of 7 zebras for every 2 lions. If there are 28 zebras in the park, how many lions are there?",C,2,4,8,9,Divided 28 by (7 x 2).,Divided 28 by 7.,Divided the number of students by 7 and multiplied by 2.,Added the two numbers in the ratio together.
745,"The number of books read by different students in a month is shown. Books Read: Mark - 8, Juan - 11, Susan - 14, Charles - 3, Kim - 5, Oscar - 7, Michelle - 8. Which action will always increase the mean by 2 books?",A,Each person reads 2 additional books.,Books for 2 more students are recorded.,Susan reads 2 more books.,The month is added with 2 more ays.,"Determined that if each person reads 2 more books, the mean will increase by 2 points.",Considered that having 2 more students increases the mean.,"Considered that when the student with the highest books reads 2 more books, the mean increases by 2 points.",Considered that time directly affects the mean.
746,A bakery has made a batch of 20 apple pies and 32 cherry pies for a local fair. What is the ratio of apple pies to cherry pies in this batch?,B,1:12,5:08,5:13,8:05,Determined the ratio to be 1:12; the 12 being the difference of the 2 types of tickets.,Determined the correct ratio.,Divided 20 by 52 and reduced.,Determined the correct ratio for children's to adult tickets instead of adult to children's tickets.
747,Which number does not belong to the set of rational numbers?,B, -1/5 , π , 0.333… , 5/9 ,Considered negative numbers are not rational numbers.,Chose pi as it is not a rational number.,Considered a repeating decimal is not a rational number.,Calculated the decimal value of 5/9 and considered a repeating decimal is not a rational number.
748,Which decimal number is the same as 6%?,B,0.006,0.06,0.6,6,Choice 6% is equivalent to 0.006 instead of 0.06.,Recognized that 6% is 6/100 and therefore equivalent to 3/50.,Choice that 6% is equivalent to 6/10 instead of 6/100.,Choice that 6% is equal to 6.
749,Divide (5/8) ÷ (8/3).,B, 5/24 , 15/64 , 5/3 , 15/8 ,Multiplied 5/8 by the reciprocal of 3/8 but then eliminated the 8 in the numerator and incorrectly found 5/24 (5/8 * 1/3).,Multiplied 5/8 x 3/8.,Canceled the 8s and then divided 5/3.,Multiplied 5/8 by 3/8 but only multiplied the numerators.
750,"Bill is creating a potent potion. The formula requires 2 liters of dragon's blood for every 1.5 liters of phoenix tears. If Bill uses 3 liters of dragon's blood, how many liters of phoenix tears does he need to complete the potion?",A, 2 (1/4) liters,4 liters, 4 (1/2) liters,6 liters,Determined the ratio 2:1.5 = 3:2.25.,Doubled the 2 liters of dragon's blood.,Added 3 and 1 1/2.,Multiplied 3 and 2.
751,"A candy store sells candys with blue, white, green, and black colors. The candy sizes available are small, medium, and large. How many different candy combinations does the store offer?",D,3,4,7,12,The student may have chosen the number of sizes.,The student may have chosen the number of colors.,The student may have added instead of multiplying.,The student multiplied the number of choices to get the total possible choices.
752,"Olivia has a bag containing 10 colored beads. She draws one bead from the bag without looking, records its color, and puts it back in. She repeats this 30 times. Each time, she pulls out a red bead. What is the experimental probability that the next bead Olivia pulls out will also be red?",D,0%,10%,30%,100%,Chose the probability associated with an impossible event.,Chose 1 of out 10 marbles.,Chose the number of times represented the probability; the red marble was chosen 30 times so the probability is 30 percent.,Recognized that 30 out of 30 means the experimental probability is 100 percent.
753,Calculate  2^3 − (3/4)^2.,C, 5 (7/16) , 6 (9/16) , 7 (7/16) , 8 (9/16) ,Multiplied 2 times 3 instead of 2 cubed.,Multiplied 2 times 3 and then added together.,Cubed 2 and squared 3/4 and then correctly subtracted the rational numbers.,Added the 2 values together.
754,"Triangle PQR has the coordinates P (2, 3), Q (-1, 4), R (-3, -2). The triangle is reflected over the y-axis to form triangle PQR. What are the coordinates of R?",C," (-3, -2) "," (-3, 2) "," (3, -2) "," (3, 2) ",Considered the coordinates remained unchanged.,Reflected the triangle about the x-axis.,"Recognized that the y-coordinate should remain the same, but the x-coordinate should be the same distance from 0 in the opposite direction.",Reflected the triangle about both the x- and y-axes.
755,"When b = 7, what is the value of the expression 5 × b + 9?",B,21,44,68,80,Added all 3 numbers together.,(5 * 7) + 9, Switched the order of multiplication and addition. (7 * 9) + 5.,Added 7 and 9 and then multiplied by 5.
756,"Two mathematical statements are provided. 10 + \\sqrt(10), 10 • \\sqrt(10). Which conclusion about these statements is correct?",B,Both expressions are rational numbers.,Both expressions are irrational numbers.," 10 + 10  is rational, and 10 • 10 is irrational."," 10 • 10  is rational, and 10 + 10 is irrational.",Considered the rational number of 10.,"Understood that the sum of a rational number and an irrational number is irrational. The product of a non-zero rational number and an irrational number is also irrational. Because x is rational and the square root of x is irrational, both the product and sum are irrational numbers.",Considered that the sum of a rational and irrational number is rational but the product is not.,Considered that the product of a rational and irrational number is rational but the sum is not.
757,What number does the expression of 2^(-4) represent?,C,-16, -1/16 , 1/16 ,16,Evaluated -(2^4).,Evaluated -(2^-4).,Correctly identified 2^-4 as being equivalent to 1/(2^4).,Raised 2 to the power of 4 instead of -4.
758,The variables m and n are positive integers in the inequality below. - 8/10 < - m/n. Which values of m and n will make the inequality correct?,B, m = 4  and n < 5 , m = 8  and n > 10 , m = 8  and n < 10 , m = 16  and n = 20 ,The student may have confused the negative signs when comparing the values or confused rescaling fractions.,The student correctly recognized how to compare the fractions.,The student may have ignored the negative signs when comparing the values.,The student may not have realized the fractions are equal.
759,What is the value of (3/2) • (6/7)?,C, 4/7 , 6/7 , 9/7 , 7/4 ,Multiplied 6/7 by the reciprocal of the first fraction and then simplified the product.,Simplified 18/14 by dividing the numerator by 3 and the denominator by 2.,Multiplied 3/2 by 6/7.,Multiplied 3/2 by the reciprocal of the second fraction and then simplified the product.
760,"The equation I = prt is used for computing the interest amount, I, that accumulates when a principle of p is invested for t years at an annual interest rate of r. John puts $2,000 into an account with a simple interest rate of 2% per year. How much interest will John receive after 1 year?",B,$20 ,$40 ,$100 ,$400 ,"Found 1% of 2,000.","Correctly determined 2% of 2,000.","Divided 2,000 by 20.","Multiplied 2,000 by 0.2 instead of 0.02."
761,"In a right triangle XYZ, angle X is the right angle. The triangle is placed on a coordinate grid with vertices X (2, 8) and Y (4, 2). Which ordered pair could be the coordinates of vertex Z?",D,"(1, 11)","(3, 11)","(5, 7)","(5, 9)",Chose Z such that XZ has the same slope as XY. (= -3),Chose Z such that XZ has a slope of 3 (instead of 1/3).,Chose Z such that XZ has a slope of -1/3 (instead of 1/3).,"Chose Z such that XZ has a slope of 1/3, which is perpendicular to XY (with a slope of -3)."
762,Solve x for the equation 3x = 6 + 9.,C,x = 1,x = 2,x = 5,x = 15,Subtracted 9 - 6 and then divided by 3.,Calculated 3(2) = 6 and did not consider the 9.,First added 6 + 9; 3x = 15; then divided both sides by 3; x = 15/3; solved x = 5.,Added 6 + 9 and did not consider the 3.
763,"Sarah has a shorter tree that is x feet tall, and she also has a taller tree of 12 feet tall. In 6 years, the taller tree will be less than twice the height of the shorter tree. What inequality represents this condition?",C, x + 6 < 2 (12) , x > 2 (12 + 6) , 2x > 12 + 6 , x < 12/2 + 6 ,"Did not consider the direction of the inequality sign, misplaced the factor of 2 and added 6 to the wrong age.",Doubled shorter tree's height in 6 years instead of doubling taller tree's height now.,Calculated that twice shorter tree's height now is greater than taller tree's height in 6 years.,Did not consider the direction of the inequality sign and halved taller tree's current height instead of his height in 6 years.
764,"Bob purchases a book for x dollars. He also decides to donate an additional 15% of the book's price to a charity. If his total spend exceeds 22 dollars, what is the inequality that describes this situation?",C, x/1.15 > 22 , x/1.15 < 22 , 1.15x > 22 , 1.15x < 22 ,Considered adding 15% requires dividing by 1.15.,"Considered that adding 15% requires dividing instead of multiplying, and reversed the inequality sign.","Recognized that the bill should be multiplied by 1.15 to find the total payment, which is greater than 22.","Considered that 1.15x is the tip itself, which must be less than 22."
765,"Consider the mathematical expression. 2 • 4 - 2 • 3 = 2(4 - 3). Which property, represented in symbols, justifies this expression?",D, a • ( b + c ) = ( b + c ) • a , ( a • b ) • c = a • ( b • c ) , ( a + b ) + c = c + ( a + b ) , a • ( b + c ) = a • b + a • c ,"Chose this property because it is a correct application of the Commutative Property of Multiplication, but may not have recognized that the Distributive Property justifies the given equation.","Chose this property because it is a correct application of the Associative Property of Multiplication, but may not have recognized that the Distributive Property justifies the given equation.","Chose this property because it is a correct application of the Commutative Property of Addition, but may not have recognized that the Distributive Property justifies the given equation.",Applied the Distributive Property to the given equation.
766,"The distances that Steven throws a football are recorded. Football Throws: Throw 1 - 33 yards, Throw 2 - 34 yards, Throw 3 - 42 yards, Throw 4 - 34 yards, Throw 5 - 21 yards, Throw 6 - 32 yards, Throw 7 - 40 yards. Which statement about the mean or the median is correct if he removes 21 yards from the data set?",B,Steven’s mean distance decreases.,Steven’s mean distance increases.,Steven’s median distance decreases.,Steven’s median distance increases.,"Removed the shortest distance, but still divided the sum of the values in the new set by 7, rather than 6, to find that the mean decreased.",Recognized that the mean increases when the least data value is deleted.,Eliminated the shortest distance which pushed the median down.,Eliminated the shortest distance which pushed the median up.
767,An uneven weighted coin has a blue side and a red side. The blue side appears 4 out of the 10 times it is flipped. What is the best estimate for the number of flips required for the coin to land on the blue side 12 times?,D,20,24,26,30,Calculated the number of spins likely to land on the red side 12 times rather than in the blue side 12 times.,Considered that the likelihood of the coin landing on the blue side was the same as the coin landing on the red side = 0.5.,"Considered that the number of times the coin landed on the blue and red side would always have a common difference of 2. Then calculated that for the coin to land on the blue side 12 times, it must land in the red side 14 times, which leads to a total of 26 spins.",Identified the number of spins required for the coin to land on the blue section 12 times.
